iter	Passed	Remaining
771	4553	1344
772	4559	1339
773	4565	1333
774	4571	1327
775	4577	1321
776	4583	1315
777	4589	1309
778	4594	1303
779	4600	1297
780	4606	1291
781	4612	1285
782	4617	1279
783	4623	1273
784	4629	1267
785	4635	1262
786	4641	1256
787	4647	1250
788	4653	1244
789	4659	1238
790	4665	1232
791	4670	1226
792	4676	1220
793	4682	1214
794	4687	1208
795	4693	1202
796	4699	1196
797	4705	1191
798	4710	1185
799	4716	1179
800	4722	1173
801	4728	1167
802	4733	1161
803	4739	1155
804	4744	1149
805	4751	1143
806	4757	1137
807	4762	1131
808	4768	1125
809	4775	1120
810	4781	1114
811	4787	1108
812	4794	1102
813	4799	1096
814	4805	1090
815	4811	1085
816	4817	1079
817	4823	1073
818	4828	1067
819	4834	1061
820	4840	1055
821	4845	1049
822	4851	1043
823	4856	1037
824	4861	1031
825	4868	1025
826	4874	1019
827	4880	1013
828	4885	1007
829	4891	1001
830	4897	996
831	4903	990
832	4909	984
833	4914	978
834	4920	972
835	4926	966
836	4932	960
837	4938	954
838	4943	948
839	4950	942
840	4956	937
841	4962	931
842	4967	925
843	4973	919
844	4980	913
845	4985	907
846	4991	901
847	4996	895
848	5002	889
849	5008	883
850	5014	878
851	5020	872
852	5026	866
853	5032	860
854	5038	854
855	5043	848
856	5049	842
857	5055	836
858	5061	830
859	5067	824
860	5073	819
861	5079	813
862	5084	807
863	5090	801
864	5096	795
865	5103	789
866	5108	783
867	5114	777
868	5120	771
869	5125	765
870	5131	760
871	5138	754
872	5144	748
873	5150	742
874	5156	736
875	5162	730
876	5167	724
877	5173	718
878	5178	712
879	5184	707
880	5190	701
881	5196	695
882	5203	689
883	5208	683
884	5214	677
885	5220	671
886	5226	665
887	5231	659
888	5237	653
889	5243	648
890	5249	642
891	5255	636
892	5261	630
893	5267	624
894	5273	618
895	5278	612
896	5284	606
897	5289	600
898	5295	594
899	5301	589
900	5307	583
901	5312	577
902	5318	571
903	5324	565
904	5330	559
905	5336	553
906	5342	547
907	5347	541
908	5354	536
909	5360	530
910	5365	524
911	5372	518
912	5377	512
913	5383	506
914	5389	500
915	5395	494
916	5400	488
917	5406	482
918	5412	477
919	5418	471
920	5424	465
921	5430	459
922	5435	453
923	5442	447
924	5448	441
925	5454	435
926	5460	429
927	5465	424
928	5471	418
929	5476	412
930	5482	406
931	5488	400
932	5494	394
933	5499	388
934	5505	382
935	5511	376
936	5517	370
937	5522	365
938	5528	359
939	5534	353
940	5540	347
941	5546	341
942	5551	335
943	5557	329
944	5562	323
945	5568	317
946	5574	311
947	5579	306
948	5586	300
949	5591	294
950	5597	288
951	5603	282
952	5608	276
953	5614	270
954	5620	264
955	5625	258
956	5631	253
957	5637	247
958	5642	241
959	5648	235
960	5655	229
961	5661	223
962	5666	217
963	5673	211
964	5679	206
965	5686	200
966	5691	194
967	5697	188
968	5702	182
969	5708	176
970	5714	170
971	5720	164
972	5725	158
973	5731	153
974	5737	147
975	5743	141
976	5748	135
977	5754	129
978	5760	123
979	5766	117
980	5771	111
981	5777	105
982	5783	100
983	5788	94
984	5794	88
985	5800	82
986	5806	76
987	5812	70
988	5818	64
989	5824	58
990	5829	52
991	5836	47
992	5842	41
993	5847	35
994	5853	29
995	5859	23
996	5865	17
997	5871	11
998	5877	5
999	5883	0
